1323.94	 [0, 8, 9, 10, 11, 4, 5, 6, 3, 2, 7, 1]
1350.06	 [0, 8, 9, 10, 11, 5, 4, 3, 6, 2, 7, 1]
1350.19	 [0, 1, 7, 2, 3, 6, 5, 4, 11, 10, 9, 8]
1355.50	 [0, 1, 7, 2, 3, 4, 5, 6, 9, 8, 10, 11]
1367.94	 [0, 1, 7, 2, 3, 6, 5, 4, 11, 10, 8, 9]
1374.14	 [0, 8, 9, 10, 11, 4, 5, 6, 3, 2, 1, 7]
1376.31	 [0, 1, 7, 2, 6, 3, 4, 5, 11, 10, 9, 8]
1376.56	 [0, 1, 7, 2, 3, 4, 5, 11, 10, 8, 9, 6]
1382.22	 [0, 1, 7, 2, 3, 4, 11, 10, 8, 9, 6, 5]
1382.22	 [0, 1, 7, 2, 3, 6, 9, 8, 10, 11, 4, 5]
1382.84	 [0, 1, 7, 2, 6, 9, 8, 10, 11, 5, 4, 3]
1389.00	 [0, 1, 7, 2, 3, 6, 9, 8, 10, 11, 5, 4]
1394.06	 [0, 1, 7, 2, 6, 3, 4, 5, 11, 10, 8, 9]
